	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_04M_F0	2.233785866929141	1972.4405331393696	3.9740648934287157	0.739317659842917	"[[0.4579639 ]
 [0.06631264]]"	[0.44769231 0.0533608 ]	0.9222764329621602
AT2_04M_F0	1.343152646572706	7.120439478644201	2.4667781151227186	0.7070604334728572	"[[5.20619359e-01]
 [6.02195341e-10]]"	[5.23946729e-01 3.60558317e-10]	0.7339380792322898
AT2_04M_F0	1.2195872680309638	6.1840069766563825	2.2268404739011336	0.7451072351344207	"[[4.96755806e-01]
 [1.23686456e-18]]"	[4.59560955e-01 3.62541911e-15]	0.760483273173976
AT2_04M_F0	1.3045349409672966	4.484813251711999	1.819607983733541	0.7497118652057561	"[[4.87886093e-01]
 [7.58497879e-32]]"	[4.57131152e-01 3.46823722e-28]	0.7641913003940346
AT2_04M_F0	1.3827917592977088	4.393396320787045	1.950838244504347	0.7488995338481861	"[[4.95664456e-01]
 [1.51187576e-33]]"	[4.49448644e-01 6.77216199e-28]	0.7562550243134751
AT2_04M_F0	1.265146800985503	4.13445305010449	1.9327906579650804	0.7461448294309472	"[[5.00099624e-01]
 [7.61726830e-44]]"	[4.51028762e-01 1.97247658e-30]	0.7531972371167253
AT2_04M_F0	1.1946917108622945	3.8531233457694407	1.945414301426227	0.7448530586361174	"[[4.98689569e-01]
 [5.08405795e-38]]"	[4.53667799e-01 9.79583672e-35]	0.7532808054688335
AT2_04M_F0	1.1401016010531229	3.736444327419541	1.9392045731837464	0.7449209111952046	"[[4.98994031e-01]
 [1.04469783e-40]]"	[4.53502995e-01 1.86704546e-28]	0.7521514626652166
