	evs	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Prostate	0.2853838493305469	0.7005737352423802	5.024104415007878	4.003974765745828	0.7674200195876931	0.5151277651279631	1.0377738820957832e-47	0.28461369596288677	0.7141529282887047	0.535245912714748	3.056619159716893e-51
Rectum	0.2930073923143453	0.6976002768402618	4.991110100334071	3.938536184568897	0.7647328033437444	0.5134956279718215	1.4751898122935526e-44	0.2918490315792141	0.7071606849243579	0.5411679090646412	2.003101143697266e-52
Salivarygland	0.2996785769136275	0.7514828695224991	5.644279099127358	4.406720176839839	0.8866148060033805	0.5319111698779947	1.3813129997403492e-52	0.2985830792017291	0.7003106911117833	0.5476496473631929	5.868346112027004e-55
Smallintestine	0.3523675853726619	0.6655573598091373	4.632895079604632	3.7369085126549506	0.6928954425557411	0.5712788352878662	5.96886523859354e-62	0.3503465675196952	0.6486268625091468	0.5941747628880293	4.0399591332058126e-70
Smoothmuscle	0.28180094968497854	0.735585272630433	5.448105988149388	4.282056795210753	0.8418035355496795	0.4980344293186564	4.547473209702684e-42	0.28069801110701775	0.7176276885045662	0.5312196256973637	3.857074388764633e-50
Spleen	0.266998314765429	0.7121522045367263	5.157674583916436	4.1102422555131755	0.7880354786188595	0.4982053208219033	1.0145171582522976e-40	0.26597422095625917	0.7330565585345388	0.5165360067432907	1.040087086282814e-45
Stomach	0.3000440612512637	0.6986049604959332	5.0023906934955535	4.035295776317945	0.76206201763246	0.5225416593719978	8.401667069942768e-53	0.2994225879198725	0.7002100253692147	0.5478595412193206	1.3881105329628433e-62
Testis	0.26548441114015237	0.7140239189284752	5.179054396566798	4.165078373651392	0.7956549312420875	0.497692802819864	1.8003610458575895e-44	0.2644969019843845	0.7345087114473579	0.5154138469892678	9.488148736604597e-48
Thyroid	0.2893079671555925	0.7346623835434087	5.43214018605208	4.249003178160508	0.8429004775615928	0.5138420255399669	1.1634398138224016e-43	0.2879660324043588	0.7110137311285998	0.5378517868159146	1.0821271741715801e-51
Tonsil	0.3585988595609367	0.6725569762653637	4.707632849760313	3.7016855864534195	0.7151993113166775	0.5676130919605288	1.7132612641139345e-52	0.357934532638651	0.6411064940737851	0.5994931529409004	1.645352987194637e-69
Urinarybladder	0.2888574748447702	0.7086349286983404	5.116227756586542	4.049193487107237	0.7954039774848709	0.5123629734656582	4.1867450523371624e-47	0.2866036242939439	0.712059555993174	0.5376213439831805	5.1470203113915355e-54
