	variance	length1	length2	noise_variance	pearsonr	spearmanrho	sMSE
AT2_04M_F10	1.226125924886069	3.3661809389570854	2.0258301589232928	0.7397902193832298	"[[5.01971976e-01]
 [9.96189739e-20]]"	[4.49718015e-01 4.06151088e-13]	0.7553011356571807
AT2_04M_F10 chrm1	2.2097712969903274	3.536495989354352	3.7911091833815194	0.6479802046065981	"[[0.51342512]
 [0.10688238]]"	[0.47113465 0.10498675]	0.7897603425803351
AT2_04M_F10 chrm2	0.7397767859305142	2.819083859079549	1.8531609799859776	0.7796097125056038	"[[0.43870985]
 [0.11072667]]"	[0.30533662 0.23499932]	0.8936869458633477
AT2_04M_F10 chrm3	0.5834427236606988	2.0274329488956346	1.1437149537257887	0.7970168926535748	"[[0.39564264]
 [0.17031652]]"	[0.21181631 0.35971915]	0.9724615855352043
AT2_04M_F10 chrm4	0.5999554661466477	2.5313226645060376	1.4640087835106792	0.7593408537523569	"[[0.47668373]
 [0.11595656]]"	[0.46172784 0.11201979]	0.8720123306811068
AT2_04M_F10 chrm5	1.480817471692824	4.771580176257936	2.512133742879319	0.6466602037504364	"[[0.55027386]
 [0.07551206]]"	[0.49573123 0.10459708]	0.7719214528886752
AT2_04M_F10 chrm6	0.6854048282966183	3.38887328053893	1.8623761341257612	0.7662187095105636	"[[0.36968552]
 [0.25684401]]"	[0.38121775 0.26412976]	0.949481876102876
AT2_04M_F10 chrm7	0.41921870545566176	2.1300004008193127	0.784911036169062	0.7170794308413416	"[[0.47513201]
 [0.12190302]]"	[0.43922222 0.13016096]	0.8338166907339817
AT2_04M_F10 chrm8	0.7885080919563683	2.5513089668191875	1.4454753567545393	0.7123424113932549	"[[0.44587283]
 [0.15928705]]"	[0.37734778 0.22977795]	0.9135935290747575
AT2_04M_F10 chrm9	1.76574268161528	4.0544283272642945	3.0285459010845766	0.7518076880268966	"[[0.47448346]
 [0.06250091]]"	[0.42478261 0.0954056 ]	0.8573169957561027
AT2_04M_F10 chrm10	5.763391390327873	4.628260424932102	5.068507824932939	0.6570511285197395	"[[0.44182666]
 [0.15513404]]"	[0.36145511 0.21327915]	0.960256904518405
AT2_04M_F10 chrm11	5.8473069739068375	5.515793315894982	3.7955326086262886	0.6135506310379963	"[[0.56240905]
 [0.07604029]]"	[0.48638626 0.06096695]	0.705088863525061
AT2_04M_F10 chrm12	0.5343406427833306	1.1468263022347926	2.0722596979372314	0.6898938573630893	"[[0.48534678]
 [0.18070835]]"	[0.52252747 0.1672713 ]	0.87577025429154
AT2_04M_F10 chrm13	0.3464832382425313	1.3660350085705946	1.951200258142293	0.8116123653670332	"[[0.23560359]
 [0.36354237]]"	[0.23878788 0.31444288]	1.1547070418421084
AT2_04M_F10 chrm14	0.5584118727723745	2.2606373031916727	0.9173627986520219	0.7766052477487393	"[[0.29406624]
 [0.23909193]]"	[0.3006993  0.29105295]	1.2359465300103047
AT2_04M_F10 chrm15	1.0109278036839249	2.980521536909431	2.3105299605019374	0.6370726953081529	"[[0.59770051]
 [0.03967612]]"	[0.56112637 0.0937303 ]	0.7262175811999089
AT2_04M_F10 chrm16	0.47605187726451864	0.2696471855332384	0.7736490230925698	0.6154839639069656	"[[0.37511203]
 [0.29020758]]"	[0.41318681 0.28699332]	1.5155186252945465
AT2_04M_F10 chrm17	0.510129403660513	2.2948542081705625	0.5066198040815678	0.7066768027973788	"[[0.43203531]
 [0.15386793]]"	[0.36422859 0.26382709]	0.9052408003838138
AT2_04M_F10 chrm18	1.2008169201138716	3.8542598849750638	2.830701962221343	0.7169898705450471	"[[0.50075096]
 [0.20102508]]"	[0.45121212 0.26126086]	0.9898734046778156
AT2_04M_F10 chrm19	1.4880039568461887	10.168858187400868	3.4756232562701164	0.7754280552361166	"[[0.41060133]
 [0.2763528 ]]"	[0.48934066 0.22961896]	0.9014984322687398
AT2_04M_F10 chrm20	1.955525192711633	2.7941285189597647	2.2500933881953893	0.5882811869552689	"[[0.55876354]
 [0.11409947]]"	[0.4954046  0.15505103]	0.8024358913064822
