	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
AT2_04M_F0	0.3094333576527893	3506.99090855492	0.6328803306443713	1.550902364791035	1.4142816023854008	0.6897147518783017	0.5580275053492965	7.390933751231357e-49	0.30854176136169753	0.6905977120623905	0.5442960916294789	8.67948729972635e-48
AT2_04M_F10	0.3128499003787407	3509.792535905821	0.6309825656971343	1.5487865974754011	1.4105905095412254	0.6866925408320872	0.5603987554767793	3.69546715377492e-49	0.31155979298937175	0.6869438710537759	0.5475085136371395	4.339743693905596e-48
AT2_18M_F0	0.31192617511931997	3513.6414071156205	0.6317275010125719	1.5495600597023087	1.411653542788378	0.6878646073794504	0.559677935520012	2.477425322650983e-49	0.31086835528491275	0.6880514985295156	0.5458117416801385	4.569426685191598e-47
AT2_18M_F10	0.31504108191624414	3511.390021931374	0.6306748362601369	1.5484340093203721	1.4105184837474516	0.6846684086884172	0.5621702250234817	1.8580695033860475e-49	0.3139895181297775	0.684521593097837	0.5476209115144208	3.55455656261529e-47
AM_04M_F0	0.3341434684369419	3469.050453446913	0.6222053453428721	1.539460615770346	1.4052040151908063	0.6653148934104519	0.5779186455318317	1.486455602708838e-49	0.3331343276426743	0.665589872300504	0.5631620690607057	2.843645250092232e-47
AM_04M_F10	0.3465457944044551	3457.50073001394	0.6161924503196232	1.5331099621247721	1.4015345808354238	0.6529713903484599	0.58814847869862	1.2387130022573652e-49	0.34567169906055795	0.6531699554541217	0.5734265951552915	2.3697043750768604e-47
AM_18M_F0	0.3563620747231161	3440.051845755811	0.6120520337706292	1.5287242869494853	1.3993360503244607	0.6432386140375457	0.5962085798948616	1.0617540019348844e-49	0.3555491173478592	0.643289007785318	0.5796788249923188	2.0311751786373088e-47
AM_18M_F10	0.3613312082704153	3438.977651229526	0.6101003940181233	1.5266494046124923	1.3977612176863026	0.6383803277796132	0.6003697198597727	9.290347516930238e-50	0.36041738500077175	0.6384441112633684	0.5833402228049567	1.777278281307645e-47
