	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
AT2_04M_F0	0.43088536983336984	3227.858071523546	0.5716301514780213	1.4862645320001426	1.367645013836788	0.56865212589632	0.6577124106538776	1.4117562653944076e-77	0.42963904792108465	0.5695838171367	0.6245166148266034	1.8852819695558965e-65
AT2_04M_F10	0.4382148747355556	3235.9789746613014	0.5690042429689893	1.483603831044629	1.366059505947572	0.56148647366872	0.6630980796675094	7.058781540810015e-78	0.4373093198506604	0.5619063127436832	0.6280840940229256	9.426409847961777e-66
AT2_18M_F0	0.4274240667327965	3257.455446229221	0.5754264121246162	1.4905483022308716	1.3718718403419685	0.5744936256846517	0.6542923838509401	1.0705678811835406e-56	0.4262916072667578	0.5727858300783246	0.6199139251451549	1.462021649451619e-50
AT2_18M_F10	0.4324734973221403	3250.907437646368	0.5739180495650542	1.4889363740839598	1.3704223173396806	0.5695008359943379	0.6580600297337224	8.451851693554269e-57	0.4308234741190076	0.5683240519380997	0.62398681677643	1.1542276179881203e-50
AM_04M_F0	0.43718789765022753	3230.830061006405	0.569396501096625	1.4842752591657984	1.366276409206414	0.5618850491962564	0.6617174688339473	7.29932646261505e-57	0.43569833578834677	0.563556155725522	0.6301162161118425	9.968329428079221e-51
AM_04M_F10	0.4431087470238758	3230.5250779649236	0.5650493703497234	1.4797780646934795	1.3625995747547208	0.5559224626201991	0.6664247518848417	5.947599339908559e-57	0.44164123855389753	0.5575427316665867	0.6373179868388102	8.122342496953439e-51
AM_18M_F0	0.4497664519712362	3220.046805153772	0.5619617846866192	1.4766072833653379	1.3600610072326027	0.5501252728241507	0.6712368445235843	5.180167167017132e-57	0.4482608201315327	0.5508318014019713	0.6431497861799729	7.074298303798157e-51
AM_18M_F10	0.45257680863714667	3221.5472065496165	0.5607780228141654	1.475383430389936	1.3600586287677316	0.5476248705852255	0.6732392527416106	4.588148062215174e-57	0.4511662584399679	0.5478836720496912	0.6453833144526877	6.265807069078368e-51
