	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
AT2_04M_F0	0.4281460817874853	3258.0816994746583	0.5751769329010543	1.490019264985643	1.3670237644323628	0.5719898369389211	0.6550731180942965	1.471354178477738e-84	0.425719941274499	0.5714287481957221	0.6197801702053157	1.9291801252520152e-67
AT2_04M_F10	0.43164256504378634	3262.062619384207	0.5747273991683305	1.4895380784644807	1.3685845511012233	0.5686100039214064	0.6575642116524251	7.392239966898213e-85	0.4301226765072732	0.567944975985221	0.6198405280533235	9.645917823299775e-68
AT2_18M_F0	0.4336981174004021	3262.042246848097	0.5744803325811229	1.4892772249889554	1.3705380377153695	0.5663076882192866	0.6599314825510624	9.131453174845401e-76	0.4321678860638032	0.5663387970979055	0.6206770742387012	7.538078865537668e-62
AT2_18M_F10	0.4317338970957759	3258.78859556467	0.5763089850248481	1.4911620332201199	1.3717527226349657	0.5682389556043441	0.6581616240907529	6.84862079808682e-76	0.43046163686242933	0.5682263942371917	0.6188095125472379	5.657402121934132e-62
AM_04M_F0	0.438439281320294	3236.2653012334176	0.5717413570490504	1.4864754018984823	1.3679586731949485	0.5616414154108591	0.6630361364874332	5.4788966384694556e-76	0.4372451176154234	0.5613831328535562	0.6261687850917751	4.525921697547506e-62
AM_04M_F10	0.4424318537890504	3242.1027513632844	0.5687506197401502	1.4833880399746524	1.3658493954242144	0.5576445136910166	0.6658672819737379	4.5657471987245464e-76	0.4411438344517556	0.5574584372540764	0.6301941281582378	3.7716014146229217e-62
AM_18M_F0	0.447272220004662	3232.6524813170713	0.5661294535144636	1.4807028398893578	1.3642310148027945	0.5530082510856308	0.66938041061611	3.913497598906754e-76	0.44606408233442346	0.5527158327809067	0.6341166378343471	3.232801212533933e-62
AM_18M_F10	0.4480999173485147	3239.4411381044	0.5659053708531303	1.4804841901247816	1.365227589426261	0.5523281365124083	0.6700098271617888	3.4243103990434106e-76	0.4469733762438207	0.5519457973678391	0.6349604020940449	2.828701060967191e-62
