	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Kidney_train	0.5531519787348074	6760.21723084874	0.5267484084563285	3.3634083456664166	2.744424212561642	0.4467769920022239	0.7442995824429021	0.0	0.5531515625236846	0.4468484374763153	0.7211661621419816	0.0
Tonsil_train	0.5510483076280285	6763.232422233365	0.5246806077430672	3.3472993678003284	2.6837184337525146	0.44888141023720785	0.742529861407685	0.0	0.5510481946391549	0.4489518053608451	0.7182571444351732	0.0
Salivarygland_train	0.542238940547902	6942.376517691802	0.5317309626697783	3.4021354375322206	2.778609055986963	0.45768932797983986	0.7370041891512658	0.0	0.5422385335890884	0.45776146641091164	0.7179209847361505	0.0
Lymphnode_train	0.509104598172323	6903.118948964712	0.5473238286975601	3.5264921180226736	2.8378165574994183	0.49081555568532365	0.7141380458375963	0.0	0.5091044834119047	0.4908955165880953	0.6944612926519143	0.0
Brain_train	0.53116885822365	7407.356636225605	0.5434866572059114	3.4954919079915685	2.8494263937683484	0.4687622866005398	0.7291522045796212	0.0	0.5311687352118307	0.4688312647881692	0.7086484291413745	0.0
Adrenal_train	0.6478341647104646	7401.249450450485	0.43623474330850864	2.908721108687046	2.4248616974153263	0.35211486541848214	0.8000739026376298	0.0	0.6478328104580937	0.35216718954190634	0.7845909412684214	0.0
Thyroid_train	0.526752086452866	6672.722301809915	0.5431125434337181	3.4923813382406883	2.8210329391109576	0.47317035504190486	0.7261704952136581	0.0	0.5267519410597686	0.47324805894023125	0.7070426541475703	0.0
Testis_train	0.5052398346782973	7766.095069137083	0.5546857696518219	3.5867847809648756	2.903406557426109	0.4946886631029152	0.7113977824005248	0.0	0.5052397311529134	0.49476026884708657	0.6956737000080088	0.0
