	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Kidney_train	0.37763428959055295	7416.9371419408535	0.6275453819652181	4.242048311312857	3.3558937697833264	0.6222662411336033	0.6144807658987466	0.0	0.3776342503389304	0.6223657496610697	0.590629477129571	0.0
Tonsil_train	0.39860430197249863	7454.37387573824	0.618782886841213	4.157137407729257	3.3577950418300078	0.6013014179067074	0.6313444879970967	0.0	0.3986042839342933	0.6013957160657066	0.5988213701963895	0.0
Salivarygland_train	0.35550668327211826	7636.104509193344	0.6410074256141345	4.375311582718065	3.5493848629575653	0.6443918096932714	0.5962421735930982	0.0	0.3555066249231974	0.6444933750768025	0.5753670873045171	0.0
Lymphnode_train	0.31513968609707366	7574.842077249644	0.6583362273824107	4.553479419300229	3.614184964821773	0.6847488120529686	0.5613619728566058	0.0	0.31513963263349415	0.6848603673665059	0.5415013603520797	0.0
Brain_train	0.35575270953129373	8174.36765984316	0.6464750624283718	4.430749526950797	3.539465918655567	0.6441525270158535	0.5964394601336371	0.0	0.35575268615464567	0.6442473138453544	0.5762846833988114	0.0
Adrenal_train	0.3836331997024188	7948.658026163792	0.6299965321686745	4.265806584124055	3.506399197961243	0.6162752633690809	0.6193798790557293	0.0	0.3836331571084676	0.6163668428915324	0.6000098767151749	0.0
Thyroid_train	0.3549771580975518	7333.833689529788	0.6414987189590496	4.380306208459679	3.493590669585726	0.6449169591622664	0.5957923738799412	0.0	0.3549771327354302	0.6450228672645698	0.5721204171981851	0.0
Testis_train	0.3143188551249484	8531.685703317376	0.6636543525380769	4.609554468836091	3.70010404601667	0.6855819161373873	0.5606393590743488	0.0	0.31431884783670816	0.6856811521632917	0.539735894643468	0.0
