	evs	loss	mae	mean_abs_fc	median_abs_fc	mse	pearsonr	pearsonr_p	r2	smse	spearmanrho	spearmanrho_p
Kidney_train	0.5530684784396971	6765.693212302162	0.5266465665109514	3.362620412175693	2.7433138435776527	0.44686049952071133	0.7442523216361477	0.0	0.5530680416602666	0.4469319583397334	0.7212092429689253	0.0
Tonsil_train	0.5489060987079002	6775.570176560956	0.5258763688646176	3.3564552218938344	2.6930096801852366	0.45102324747879824	0.7410737235788035	0.0	0.5489060215259831	0.45109397847401694	0.7171907087073468	0.0
Salivarygland_train	0.5410511052218461	6947.396618851926	0.5322531619093203	3.406266780028029	2.7860241425389702	0.4588769688183745	0.7361776849705143	0.0	0.5410507055880902	0.45894929441190974	0.7171337685859938	0.0
Lymphnode_train	0.509978864786231	6916.625059333965	0.546580391054597	3.5204391000668687	2.8181840735555554	0.4899415435720912	0.7148856445924665	0.0	0.5099786379645137	0.49002136203548635	0.6959202435859498	0.0
Brain_train	0.5302259767440398	7418.773118520747	0.5440311103700015	3.499884196108475	2.8439677627826834	0.4697050441121659	0.7285190039606	0.0	0.5302258389901285	0.46977416100987146	0.7080040916262954	0.0
Adrenal_train	0.5597549010534937	7219.9145088147925	0.5237588157441048	3.3401506684187807	2.732785454084894	0.44018009199187846	0.7487001041451673	0.0	0.5597544964960046	0.4402455035039954	0.7300193348401938	0.0
Thyroid_train	0.5247515087071537	6671.507721849066	0.5441566014483481	3.500812169866856	2.8296545549258756	0.4751706319433546	0.7247613908065115	0.0	0.5247513369525423	0.4752486630474577	0.706040157407558	0.0
Testis_train	0.5038526684028781	7773.2425927740405	0.5550106275085229	3.5894886735722777	2.8945526187727624	0.49607562431825575	0.7104221620520567	0.0	0.5038525702045648	0.49614742979543525	0.6952241273652063	0.0
